timestamp,node,cpu_pct,cpu_pods,mem_pct,mem_pods,io_read_bytes_per_sec,io_write_bytes_per_sec,io_pods
1786049765.0387907,node-2,0.28,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": 0.0",0.52,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""bytes"": 13381632.0",0.0,972.29,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""read_bytes_per_sec"": 0.0"
1786049765.3230083,node-0,0.31,"{speaker-kxvm6"": 0.03",0.51,"{speaker-kxvm6"": {""bytes"": 29736960.0",0.0,0.0,"{calico-node-c6csm"": {""read_bytes_per_sec"": 0.0"
1786049765.5151236,node-1,0.9,"{prometheus-prometheus-node-exporter-l65bs"": 0.02",0.79,"{prometheus-prometheus-node-exporter-l65bs"": {""bytes"": 17031168.0",0.0,57306.55,"{calico-node-jp6xs"": {""read_bytes_per_sec"": 0.0"
1786049766.0440817,node-2,0.28,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": 0.0",0.52,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""bytes"": 13381632.0",0.0,972.29,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""read_bytes_per_sec"": 0.0"
1786049766.3276608,node-0,0.31,"{speaker-kxvm6"": 0.03",0.51,"{speaker-kxvm6"": {""bytes"": 29736960.0",0.0,0.0,"{calico-node-c6csm"": {""read_bytes_per_sec"": 0.0"
1786049766.5196435,node-1,0.9,"{prometheus-prometheus-node-exporter-l65bs"": 0.02",0.79,"{prometheus-prometheus-node-exporter-l65bs"": {""bytes"": 17031168.0",0.0,57306.55,"{calico-node-jp6xs"": {""read_bytes_per_sec"": 0.0"
1786049767.0491345,node-2,0.28,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": 0.0",0.52,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""bytes"": 13381632.0",0.0,972.29,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""read_bytes_per_sec"": 0.0"
1786049767.331676,node-0,0.35,"{speaker-kxvm6"": 0.03",0.51,"{speaker-kxvm6"": {""bytes"": 29593600.0",0.0,0.0,"{calico-node-c6csm"": {""read_bytes_per_sec"": 0.0"
1786049767.524294,node-1,0.9,"{prometheus-prometheus-node-exporter-l65bs"": 0.02",0.79,"{prometheus-prometheus-node-exporter-l65bs"": {""bytes"": 17031168.0",0.0,57306.55,"{calico-node-jp6xs"": {""read_bytes_per_sec"": 0.0"
1786049768.054292,node-2,0.28,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": 0.0",0.52,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""bytes"": 13381632.0",0.0,972.29,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""read_bytes_per_sec"": 0.0"
