Policy,Run,p50,p60,p70,p80,p90,p99,max
Load Peak,1,4.9,5.1,5.3,12.1,43.7,195.7,266.5
Load Peak,2,4.9,5.1,5.4,9.6,43.4,195.7,243.5
Load Peak,3,5.0,5.2,5.5,10.6,41.8,195.3,249.0
Load Peak,4,5.0,5.1,5.3,11.4,45.0,200.6,243.7
Load Peak,5,5.0,5.2,5.5,11.5,45.9,201.4,260.8
Load Peak,6,5.0,5.1,5.4,10.4,50.4,203.2,390.5
Load Peak,7,4.9,5.1,5.3,11.0,46.5,198.2,247.3
Load Peak,8,5.0,5.1,5.3,10.4,45.8,204.0,257.4
Load Peak,9,4.9,5.1,5.3,9.8,45.6,198.5,267.4
Load Peak,10,5.0,5.1,5.4,12.8,49.0,201.5,287.2

Load Peak,MEAN,4.96,5.12,5.37,10.96,45.71,199.41,271.33
Load Peak,STDEV,0.05,0.04,0.08,1.01,2.55,3.20,43.98

Load Avg,1,5.0,5.2,5.5,11.6,46.5,197.8,281.1
Load Avg,2,4.9,5.1,5.4,11.8,47.2,202.5,265.9
Load Avg,3,5.0,5.1,5.4,10.9,48.6,197.2,273.4
Load Avg,4,5.1,5.2,5.5,12.7,39.7,200.8,284.2
Load Avg,5,4.8,4.9,5.2,10.0,46.7,201.1,305.3
Load Avg,6,5.1,5.3,5.6,11.7,44.3,199.2,251.0
Load Avg,7,5.1,5.3,5.6,12.0,44.5,198.8,251.4
Load Avg,8,4.8,4.9,5.2,10.2,46.8,194.8,244.2
Load Avg,9,5.0,5.2,5.4,10.5,49.1,199.3,259.8
Load Avg,10,5.0,5.2,5.6,12.8,48.4,200.7,313.7

Load Avg,MEAN,4.98,5.14,5.44,11.42,46.18,199.22,273.00
Load Avg,STDEV,0.11,0.14,0.15,0.99,2.78,2.23,23.32

No Mig,1,5.2,5.6,9.0,21.5,45.2,203.8,432.3
No Mig,2,5.1,5.5,9.0,21.2,45.4,205.9,384.7
No Mig,3,5.0,5.5,9.1,21.7,46.4,204.1,287.6
No Mig,4,5.1,5.6,8.9,21.7,44.4,202.1,394.1
No Mig,5,5.1,5.6,9.8,21.2,44.2,205.1,374.1
No Mig,6,5.1,5.6,8.9,21.0,44.6,207.4,292.9
No Mig,7,5.2,5.7,9.4,21.4,44.3,205.8,282.5
No Mig,8,5.1,5.7,9.2,21.3,45.1,204.3,293.1
No Mig,9,5.1,5.6,8.9,21.3,44.0,204.1,272.3
No Mig,10,5.1,5.6,9.1,21.4,41.6,203.8,297.9

No Mig,MEAN,5.11,5.60,9.13,21.37,44.52,204.64,331.15
No Mig,STDEV,0.06,0.07,0.28,0.22,1.25,1.47,58.36

Tardis,1,5.1,5.2,5.5,10.3,45.7,202.5,301.6
Tardis,2,5.3,5.5,5.8,9.9,43.9,192.9,252.0
Tardis,3,5.0,5.1,5.3,8.2,45.4,196.8,280.3
Tardis,4,5.0,5.1,5.3,10.2,43.9,195.3,284.5
Tardis,5,4.9,5.0,5.3,10.7,46.0,198.4,243.0
Tardis,6,4.9,5.1,5.3,9.8,44.7,200.0,234.5
Tardis,7,4.8,5.0,5.2,10.8,40.9,196.8,278.3
Tardis,8,4.9,5.2,5.6,11.2,48.0,197.0,245.7
Tardis,9,5.0,5.1,5.3,10.4,44.7,196.3,255.5
Tardis,10,5.0,5.2,5.6,13.2,46.5,195.8,244.6

Tardis,MEAN,4.99,5.15,5.42,10.47,44.97,197.18,262.00
Tardis,STDEV,0.14,0.14,0.19,1.26,1.89,2.64,22.37

