Policy,Run,p50,p60,p70,p80,p90,p99,max

Load Peak,MEAN,,,,,,,
Load Peak,STDEV,,,,,,,

Load Avg,1,5.9,6.1,6.5,11.2,44.0,285.6,1451.1

Load Avg,MEAN,5.90,6.10,6.50,11.20,44.00,285.60,1451.10
Load Avg,STDEV,0.00,0.00,0.00,0.00,0.00,0.00,0.00

No Mig,1,5.9,6.0,6.4,8.2,42.9,564.1,1497.7

No Mig,MEAN,5.90,6.00,6.40,8.20,42.90,564.10,1497.70
No Mig,STDEV,0.00,0.00,0.00,0.00,0.00,0.00,0.00

Tardis,1,5.9,6.1,7.1,13.2,44.9,292.2,918.3

Tardis,MEAN,5.90,6.10,7.10,13.20,44.90,292.20,918.30
Tardis,STDEV,0.00,0.00,0.00,0.00,0.00,0.00,0.00

