timestamp,elapsed_s,node,cpu_usage,cpu_cores,memory_usage,memory_bytes
1788858139.686973,0.002844095230102539,node-0,611769332n,0.611769332,6725624Ki,6887038976.0
1788858139.686973,0.002844095230102539,node-1,459681025n,0.459681025,4315764Ki,4419342336.0
1788858139.686973,0.002844095230102539,node-2,353560433n,0.353560433,3863616Ki,3956342784.0
1788858140.687552,1.0034229755401611,node-0,611769332n,0.611769332,6725624Ki,6887038976.0
1788858140.687552,1.0034229755401611,node-1,459681025n,0.459681025,4315764Ki,4419342336.0
1788858140.687552,1.0034229755401611,node-2,353560433n,0.353560433,3863616Ki,3956342784.0
1788858141.6881773,2.0040483474731445,node-0,611769332n,0.611769332,6725624Ki,6887038976.0
1788858141.6881773,2.0040483474731445,node-1,459681025n,0.459681025,4315764Ki,4419342336.0
1788858141.6881773,2.0040483474731445,node-2,353560433n,0.353560433,3863616Ki,3956342784.0
1788858142.6962025,3.012073516845703,node-0,611769332n,0.611769332,6725624Ki,6887038976.0
1788858142.6962025,3.012073516845703,node-1,459681025n,0.459681025,4315764Ki,4419342336.0
1788858142.6962025,3.012073516845703,node-2,353560433n,0.353560433,3863616Ki,3956342784.0
1788858143.6972778,4.013148784637451,node-0,611769332n,0.611769332,6725624Ki,6887038976.0
1788858143.6972778,4.013148784637451,node-1,459681025n,0.459681025,4315764Ki,4419342336.0
1788858143.6972778,4.013148784637451,node-2,353560433n,0.353560433,3863616Ki,3956342784.0
1788858144.699193,5.015064001083374,node-0,611769332n,0.611769332,6725624Ki,6887038976.0
1788858144.699193,5.015064001083374,node-1,459681025n,0.459681025,4315764Ki,4419342336.0
1788858144.699193,5.015064001083374,node-2,353560433n,0.353560433,3863616Ki,3956342784.0
1788858145.6994984,6.015369415283203,node-0,787475538n,0.787475538,6736372Ki,6898044928.0
1788858145.6994984,6.015369415283203,node-1,654984654n,0.654984654,4269956Ki,4372434944.0
1788858145.6994984,6.015369415283203,node-2,393319497n,0.393319497,3869332Ki,3962195968.0
1788858146.7041664,7.020037412643433,node-0,787475538n,0.787475538,6736372Ki,6898044928.0
1788858146.7041664,7.020037412643433,node-1,654984654n,0.654984654,4269956Ki,4372434944.0
1788858146.7041664,7.020037412643433,node-2,393319497n,0.393319497,3869332Ki,3962195968.0
1788858147.7062154,8.022086381912231,node-0,787475538n,0.787475538,6736372Ki,6898044928.0
1788858147.7062154,8.022086381912231,node-1,654984654n,0.654984654,4269956Ki,4372434944.0
1788858147.7062154,8.022086381912231,node-2,393319497n,0.393319497,3869332Ki,3962195968.0
1788858148.706953,9.022824048995972,node-0,787475538n,0.787475538,6736372Ki,6898044928.0
1788858148.706953,9.022824048995972,node-1,654984654n,0.654984654,4269956Ki,4372434944.0
1788858148.706953,9.022824048995972,node-2,393319497n,0.393319497,3869332Ki,3962195968.0
1788858149.7121215,10.027992486953735,node-0,787475538n,0.787475538,6736372Ki,6898044928.0
1788858149.7121215,10.027992486953735,node-1,654984654n,0.654984654,4269956Ki,4372434944.0
1788858149.7121215,10.027992486953735,node-2,393319497n,0.393319497,3869332Ki,3962195968.0
1788858150.7162275,11.032098531723022,node-0,787475538n,0.787475538,6736372Ki,6898044928.0
1788858150.7162275,11.032098531723022,node-1,654984654n,0.654984654,4269956Ki,4372434944.0
1788858150.7162275,11.032098531723022,node-2,393319497n,0.393319497,3869332Ki,3962195968.0
1788858151.7175593,12.033430337905884,node-0,787475538n,0.787475538,6736372Ki,6898044928.0
