timestamp,elapsed_s,node,cpu_usage,cpu_cores,memory_usage,memory_bytes
1788887702.8629127,0.0028371810913085938,node-0,665480426n,0.665480426,6764560Ki,6926909440.0
1788887702.8629127,0.0028371810913085938,node-1,705345631n,0.705345631,4483572Ki,4591177728.0
1788887702.8629127,0.0028371810913085938,node-2,356718192n,0.35671819200000005,4075188Ki,4172992512.0
1788887703.867918,1.0078425407409668,node-0,665480426n,0.665480426,6764560Ki,6926909440.0
1788887703.867918,1.0078425407409668,node-1,705345631n,0.705345631,4483572Ki,4591177728.0
1788887703.867918,1.0078425407409668,node-2,356718192n,0.35671819200000005,4075188Ki,4172992512.0
1788887704.8690736,2.008998155593872,node-0,665480426n,0.665480426,6764560Ki,6926909440.0
1788887704.8690736,2.008998155593872,node-1,705345631n,0.705345631,4483572Ki,4591177728.0
1788887704.8690736,2.008998155593872,node-2,356718192n,0.35671819200000005,4075188Ki,4172992512.0
1788887705.8719058,3.0118303298950195,node-0,665480426n,0.665480426,6764560Ki,6926909440.0
1788887705.8719058,3.0118303298950195,node-1,705345631n,0.705345631,4483572Ki,4591177728.0
1788887705.8719058,3.0118303298950195,node-2,356718192n,0.35671819200000005,4075188Ki,4172992512.0
1788887706.8770785,4.017003059387207,node-0,665480426n,0.665480426,6764560Ki,6926909440.0
1788887706.8770785,4.017003059387207,node-1,705345631n,0.705345631,4483572Ki,4591177728.0
1788887706.8770785,4.017003059387207,node-2,356718192n,0.35671819200000005,4075188Ki,4172992512.0
1788887707.8789177,5.0188422203063965,node-0,665480426n,0.665480426,6764560Ki,6926909440.0
1788887707.8789177,5.0188422203063965,node-1,705345631n,0.705345631,4483572Ki,4591177728.0
1788887707.8789177,5.0188422203063965,node-2,356718192n,0.35671819200000005,4075188Ki,4172992512.0
1788887708.8921754,6.032099962234497,node-0,665480426n,0.665480426,6764560Ki,6926909440.0
1788887708.8921754,6.032099962234497,node-1,705345631n,0.705345631,4483572Ki,4591177728.0
1788887708.8921754,6.032099962234497,node-2,356718192n,0.35671819200000005,4075188Ki,4172992512.0
1788887709.896987,7.036911487579346,node-0,764209899n,0.764209899,6762296Ki,6924591104.0
1788887709.896987,7.036911487579346,node-1,448267289n,0.448267289,4478660Ki,4586147840.0
1788887709.896987,7.036911487579346,node-2,414019062n,0.41401906200000005,4075068Ki,4172869632.0
1788887710.898603,8.038527488708496,node-0,764209899n,0.764209899,6762296Ki,6924591104.0
1788887710.898603,8.038527488708496,node-1,448267289n,0.448267289,4478660Ki,4586147840.0
1788887710.898603,8.038527488708496,node-2,414019062n,0.41401906200000005,4075068Ki,4172869632.0
1788887711.902037,9.041961431503296,node-0,764209899n,0.764209899,6762296Ki,6924591104.0
1788887711.902037,9.041961431503296,node-1,448267289n,0.448267289,4478660Ki,4586147840.0
1788887711.902037,9.041961431503296,node-2,414019062n,0.41401906200000005,4075068Ki,4172869632.0
1788887712.903576,10.043500423431396,node-0,764209899n,0.764209899,6762296Ki,6924591104.0
1788887712.903576,10.043500423431396,node-1,448267289n,0.448267289,4478660Ki,4586147840.0
1788887712.903576,10.043500423431396,node-2,414019062n,0.41401906200000005,4075068Ki,4172869632.0
1788887713.9059424,11.045866966247559,node-0,764209899n,0.764209899,6762296Ki,6924591104.0
1788887713.9059424,11.045866966247559,node-1,448267289n,0.448267289,4478660Ki,4586147840.0
1788887713.9059424,11.045866966247559,node-2,414019062n,0.41401906200000005,4075068Ki,4172869632.0
1788887714.9064765,12.046401023864746,node-0,764209899n,0.764209899,6762296Ki,6924591104.0
1788887714.9064765,12.046401023864746,node-1,448267289n,0.448267289,4478660Ki,4586147840.0
1788887714.9064765,12.046401023864746,node-2,414019062n,0.41401906200000005,4075068Ki,4172869632.0
1788887715.9074433,13.047367811203003,node-0,764209899n,0.764209899,6762296Ki,6924591104.0
1788887715.9074433,13.047367811203003,node-1,448267289n,0.448267289,4478660Ki,4586147840.0
1788887715.9074433,13.047367811203003,node-2,414019062n,0.41401906200000005,4075068Ki,4172869632.0
1788887716.9121516,14.0520761013031,node-0,764209899n,0.764209899,6762296Ki,6924591104.0
1788887716.9121516,14.0520761013031,node-1,448267289n,0.448267289,4478660Ki,4586147840.0
1788887716.9121516,14.0520761013031,node-2,414019062n,0.41401906200000005,4075068Ki,4172869632.0
1788887717.9132895,15.053214073181152,node-0,764209899n,0.764209899,6762296Ki,6924591104.0
1788887717.9132895,15.053214073181152,node-1,448267289n,0.448267289,4478660Ki,4586147840.0
1788887717.9132895,15.053214073181152,node-2,414019062n,0.41401906200000005,4075068Ki,4172869632.0
1788887718.9140124,16.05393695831299,node-0,764209899n,0.764209899,6762296Ki,6924591104.0
1788887718.9140124,16.05393695831299,node-1,448267289n,0.448267289,4478660Ki,4586147840.0
1788887718.9140124,16.05393695831299,node-2,414019062n,0.41401906200000005,4075068Ki,4172869632.0
1788887719.916177,17.05610156059265,node-0,764209899n,0.764209899,6762296Ki,6924591104.0
1788887719.916177,17.05610156059265,node-1,448267289n,0.448267289,4478660Ki,4586147840.0
1788887719.916177,17.05610156059265,node-2,414019062n,0.41401906200000005,4075068Ki,4172869632.0
1788887720.9201365,18.06006097793579,node-0,764209899n,0.764209899,6762296Ki,6924591104.0
1788887720.9201365,18.06006097793579,node-1,448267289n,0.448267289,4478660Ki,4586147840.0
1788887720.9201365,18.06006097793579,node-2,414019062n,0.41401906200000005,4075068Ki,4172869632.0
1788887721.9213433,19.061267852783203,node-0,764209899n,0.764209899,6762296Ki,6924591104.0
