timestamp,elapsed_s,interval_s,dispatched_rps,completed_rps,failed_rps,attempt_rps,in_flight,dispatched_total,completed_total,failed_total,attempts_total
1788891491.938443,1.0023601055145264,1.0008320808410645,24.979215273546057,15.986697775069477,0.0,24.979215273546057,9,25,16,0,25
1788891492.9399967,2.0039138793945312,1.0015537738800049,3.9937945463517726,3.9937945463517726,0.0,3.9937945463517726,9,29,20,0,29
1788891493.9440036,3.007920742034912,1.0040068626403809,1.992018256469197,1.992018256469197,0.0,1.992018256469197,9,31,22,0,31
1788891494.9453068,4.009223937988281,1.0013031959533691,2.9960955004678826,2.9960955004678826,0.0,2.9960955004678826,9,34,25,0,34
1788891495.9480195,5.011936664581299,1.0027127265930176,0.0,0.997294612383913,0.0,0.0,8,34,26,0,34
1788891496.94986,6.013777256011963,1.001840591430664,0.9981627901220935,1.996325580244187,0.0,0.9981627901220935,7,35,28,0,35
1788891497.9519923,7.015909433364868,1.0021321773529053,1.9957447183094403,1.9957447183094403,0.0,1.9957447183094403,7,37,30,0,37
1788891498.9534051,8.017322301864624,1.0014128684997559,2.9957673746437696,2.9957673746437696,0.0,2.9957673746437696,7,40,33,0,40
1788891499.955988,9.019905090332031,1.0025827884674072,1.9948477302879788,1.9948477302879788,0.0,1.9948477302879788,7,42,35,0,42
1788891500.9599702,10.023887395858765,1.0039823055267334,1.992066980653321,1.992066980653321,0.0,1.992066980653321,7,44,37,0,44
1788891501.962514,11.0264310836792,1.0025436878204346,1.9949255322210155,2.992388298331523,0.0,1.9949255322210155,6,46,40,0,46
1788891502.963966,12.027883052825928,1.0014519691467285,2.995650408033151,2.995650408033151,0.0,2.995650408033151,6,49,43,0,49
1788891503.9653914,13.029308557510376,1.0014255046844482,1.9971530489731286,1.9971530489731286,0.0,1.9971530489731286,6,51,45,0,51
1788891504.9669552,14.030872344970703,1.0015637874603271,1.99687730830546,2.99531596245819,0.0,1.99687730830546,5,53,48,0,53
1788891505.9684074,15.03232455253601,1.0014522075653076,0.9985498982833757,0.9985498982833757,0.0,0.9985498982833757,5,54,49,0,54
1788891506.9699545,16.0338716506958,1.00154709815979,0.0,0.998455291655647,0.0,0.0,4,54,50,0,54
1788891507.9704201,17.034337282180786,1.0004656314849854,0.9995345852267866,0.9995345852267866,0.0,0.9995345852267866,4,55,51,0,55
1788891508.9720187,18.035935878753662,1.001598596572876,0.0,0.0,0.0,0.0,4,55,51,0,55
1788891509.9731183,19.03703546524048,1.0010995864868164,1.9978032425511727,1.9978032425511727,0.0,1.9978032425511727,4,57,53,0,57
1788891510.9749882,20.038905382156372,1.0018699169158936,0.0,0.0,0.0,0.0,4,57,53,0,57
1788891511.9755886,21.03950572013855,1.0006003379821777,0.9994000222072797,0.9994000222072797,0.0,0.9994000222072797,4,58,54,0,58
1788891512.9772508,22.041167974472046,1.001662254333496,0.9983405041706377,0.9983405041706377,0.0,0.9983405041706377,4,59,55,0,59
1788891513.978863,23.04278016090393,1.0016121864318848,0.9983904085296447,0.9983904085296447,0.0,0.9983904085296447,4,60,56,0,60
1788891514.979541,24.043458223342896,1.0006780624389648,2.997967191054497,1.9986447940363314,0.0,2.997967191054497,5,63,58,0,63
1788891515.9809859,25.04490303993225,1.0014448165893555,1.9971145357878508,2.995671803681776,0.0,1.9971145357878508,4,65,61,0,65
1788891516.9822206,26.046137809753418,1.001234769821167,0.9987667529550661,0.9987667529550661,0.0,0.9987667529550661,4,66,62,0,66
1788891517.9835265,27.047443628311157,1.0013058185577393,0.9986958843806379,0.9986958843806379,0.0,0.9986958843806379,4,67,63,0,67
1788891518.9848778,28.048794984817505,1.0013513565063477,1.9973009343871817,1.9973009343871817,0.0,1.9973009343871817,4,69,65,0,69
1788891519.9861596,29.050076723098755,1.00128173828125,3.994879609875038,3.994879609875038,0.0,3.994879609875038,4,73,69,0,73
