Policy,Run,p50,p60,p70,p80,p90,p99,max
Load Peak,1,4.9,5.1,5.4,9.6,44.2,199.4,301.3

Load Peak,MEAN,4.90,5.10,5.40,9.60,44.20,199.40,301.30
Load Peak,STDEV,0.00,0.00,0.00,0.00,0.00,0.00,0.00

Load Avg,1,5.1,5.2,5.6,11.6,46.8,200.5,319.5

Load Avg,MEAN,5.10,5.20,5.60,11.60,46.80,200.50,319.50
Load Avg,STDEV,0.00,0.00,0.00,0.00,0.00,0.00,0.00

No Mig,1,5.1,5.6,9.0,21.4,43.7,209.1,365.9

No Mig,MEAN,5.10,5.60,9.00,21.40,43.70,209.10,365.90
No Mig,STDEV,0.00,0.00,0.00,0.00,0.00,0.00,0.00

Tardis,1,5.0,5.2,5.3,10.5,44.2,200.1,252.1

Tardis,MEAN,5.00,5.20,5.30,10.50,44.20,200.10,252.10
Tardis,STDEV,0.00,0.00,0.00,0.00,0.00,0.00,0.00

