timestamp,node,cpu_pct,cpu_pods,mem_pct,mem_pods,io_read_bytes_per_sec,io_write_bytes_per_sec,io_pods
1786083074.4292183,node-1,10.32,"{prometheus-prometheus-node-exporter-l65bs"": 0.0",1.01,"{prometheus-prometheus-node-exporter-l65bs"": {""bytes"": 18096128.0",0.0,48800.56,"{calico-node-jp6xs"": {""read_bytes_per_sec"": 0.0"
1786083074.6571274,node-0,0.38,"{speaker-kxvm6"": 0.04",0.57,"{speaker-kxvm6"": {""bytes"": 28774400.0",0.0,0.0,"{calico-node-c6csm"": {""read_bytes_per_sec"": 0.0"
1786083074.8655884,node-2,77.6,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": 0.0",0.67,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""bytes"": 13344768.0",0.0,33849.02,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""read_bytes_per_sec"": 0.0"
1786083075.4332142,node-1,10.32,"{prometheus-prometheus-node-exporter-l65bs"": 0.0",1.01,"{prometheus-prometheus-node-exporter-l65bs"": {""bytes"": 18096128.0",0.0,48800.56,"{calico-node-jp6xs"": {""read_bytes_per_sec"": 0.0"
1786083075.6614497,node-0,0.38,"{speaker-kxvm6"": 0.04",0.57,"{speaker-kxvm6"": {""bytes"": 28774400.0",0.0,0.0,"{calico-node-c6csm"": {""read_bytes_per_sec"": 0.0"
1786083075.8707826,node-2,77.6,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": 0.0",0.67,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""bytes"": 13344768.0",0.0,33849.02,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""read_bytes_per_sec"": 0.0"
1786083076.4372423,node-1,10.32,"{prometheus-prometheus-node-exporter-l65bs"": 0.0",1.01,"{prometheus-prometheus-node-exporter-l65bs"": {""bytes"": 18096128.0",0.0,48800.56,"{calico-node-jp6xs"": {""read_bytes_per_sec"": 0.0"
1786083076.6651754,node-0,0.38,"{speaker-kxvm6"": 0.04",0.57,"{speaker-kxvm6"": {""bytes"": 28774400.0",0.0,0.0,"{calico-node-c6csm"": {""read_bytes_per_sec"": 0.0"
1786083076.8764915,node-2,77.6,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": 0.0",0.67,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""bytes"": 13344768.0",0.0,33849.02,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""read_bytes_per_sec"": 0.0"
1786083077.4412313,node-1,10.32,"{prometheus-prometheus-node-exporter-l65bs"": 0.0",1.01,"{prometheus-prometheus-node-exporter-l65bs"": {""bytes"": 18096128.0",0.0,48800.56,"{calico-node-jp6xs"": {""read_bytes_per_sec"": 0.0"
1786083077.6700451,node-0,0.4,"{speaker-kxvm6"": 0.03",0.57,"{speaker-kxvm6"": {""bytes"": 29663232.0",0.0,0.0,"{calico-node-c6csm"": {""read_bytes_per_sec"": 0.0"
1786083077.8826914,node-2,77.6,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": 0.0",0.67,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""bytes"": 13344768.0",0.0,33849.02,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""read_bytes_per_sec"": 0.0"
1786083078.4452279,node-1,10.32,"{prometheus-prometheus-node-exporter-l65bs"": 0.0",1.01,"{prometheus-prometheus-node-exporter-l65bs"": {""bytes"": 18096128.0",0.0,48800.56,"{calico-node-jp6xs"": {""read_bytes_per_sec"": 0.0"
1786083078.6753044,node-0,0.4,"{speaker-kxvm6"": 0.03",0.57,"{speaker-kxvm6"": {""bytes"": 29663232.0",0.0,0.0,"{calico-node-c6csm"": {""read_bytes_per_sec"": 0.0"
1786083078.8906732,node-2,77.41,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": 0.0",0.65,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""bytes"": 13340672.0",0.0,38533.27,"{kubernetes-metrics-scraper-55bc8b9b54-m4zhb"": {""read_bytes_per_sec"": 0.0"
1786083079.4612253,node-1,10.34,"{prometheus-prometheus-node-exporter-l65bs"": 0.0",1.0,"{prometheus-prometheus-node-exporter-l65bs"": {""bytes"": 18096128.0",0.0,54130.32,"{calico-node-jp6xs"": {""read_bytes_per_sec"": 0.0"
