timestamp,node,cpu_pct,mem_used_mb,mem_total_mb,mem_pct,load1,load5,load15
1780303796.0623515,node-2,0.3,3305.9,257840.9,1.3,0.716,3.575,3.274
1780303796.2026267,node-0,0.95,3606.1,257840.9,1.4,0.701,0.875,0.714
1780303797.0646827,node-2,0.57,3311.0,257840.9,1.3,0.716,3.575,3.274
1780303797.2050452,node-0,0.85,3604.1,257840.9,1.4,0.701,0.875,0.714
1780303797.8459795,node-1,1.42,3816.9,257840.9,1.5,0.944,7.428,7.882
1780303798.0669909,node-2,0.53,3310.4,257840.9,1.3,0.716,3.575,3.274
1780303798.2074165,node-0,0.35,3606.2,257840.9,1.4,0.701,0.875,0.714
1780303798.848349,node-1,0.57,3816.0,257840.9,1.5,0.944,7.428,7.882
1780303799.06936,node-2,0.82,3312.4,257840.9,1.3,0.716,3.575,3.274
1780303799.2096908,node-0,0.4,3605.9,257840.9,1.4,0.701,0.875,0.714
1780303799.8505893,node-1,0.45,3816.6,257840.9,1.5,1.029,7.337,7.85
1780303800.0716596,node-2,0.2,3311.2,257840.9,1.3,0.659,3.515,3.256
1780303800.2115111,node-0,0.2,3605.5,257840.9,1.4,0.645,0.86,0.71
1780303800.8527434,node-1,0.47,3822.4,257840.9,1.5,1.029,7.337,7.85
1780303801.0737855,node-2,0.07,3310.0,257840.9,1.3,0.659,3.515,3.256
1780303801.2137954,node-0,0.85,3606.9,257840.9,1.4,0.645,0.86,0.71
1780303801.8549566,node-1,0.78,3820.9,257840.9,1.5,1.029,7.337,7.85
1780303802.0759726,node-2,0.38,3313.9,257840.9,1.3,0.659,3.515,3.256
1780303802.2161095,node-0,0.4,3606.9,257840.9,1.4,0.645,0.86,0.71
1780303802.8572927,node-1,0.75,3819.9,257840.9,1.5,1.029,7.337,7.85
1780303803.0782778,node-2,0.23,3315.5,257840.9,1.3,0.659,3.515,3.256
1780303803.218339,node-0,0.17,3605.7,257840.9,1.4,0.645,0.86,0.71
1780303803.8594866,node-1,0.37,3818.9,257840.9,1.5,1.029,7.337,7.85
1780303804.080568,node-2,0.53,3314.2,257840.9,1.3,0.659,3.515,3.256
1780303804.2205696,node-0,0.38,3604.4,257840.9,1.4,0.645,0.86,0.71
1780303804.8619883,node-1,0.63,3813.7,257840.9,1.5,0.946,7.215,7.808
1780303805.0834055,node-2,0.1,3313.6,257840.9,1.3,0.605,3.457,3.239
1780303805.2232394,node-0,1.02,3604.1,257840.9,1.4,0.593,0.846,0.707
1780303805.8642511,node-1,0.55,3814.2,257840.9,1.5,0.946,7.215,7.808
1780303806.085528,node-2,0.15,3312.8,257840.9,1.3,0.605,3.457,3.239
1780303806.225658,node-0,0.7,3600.0,257840.9,1.4,0.593,0.846,0.707
1780303806.8665087,node-1,0.89,3813.5,257840.9,1.5,0.946,7.215,7.808
1780303807.08748,node-2,0.23,3308.1,257840.9,1.3,0.605,3.457,3.239
