timestamp,node,cpu_pct,pods,
1780891980.2589214,node-1,1.6,"{worker-e92487a7ec042235-86595c994d-zqptx"": 0.21","[' ""worker-80ba614b065a6836-65dfb8499b-fxsgr"": 0.14', ' ""kube-proxy-5mfnl"": 0.21', ' ""worker-046b5f12d0ed300f-cbbd44969-6f4sg"": 0.32', ' ""worker-38c3814fedc3e476-5bf68c8b78-25hkd"": 0.29}""']"
1780891980.7527523,node-0,1.7,"{worker-51dbc1cbb708f14d-59f44787cd-xt4j7"": 0.17","[' ""worker-4f5eafc2b3d6ead5-6c696d7b65-cscdc"": 0.15', ' ""kube-controller-manager-node-0"": 1.0}""']"
1780891980.9331543,node-2,6.5,"{worker-3e325e5d1375e6a6-8487599786-46khj"": 0.25","[' ""worker-dfcd50e431bff00c-67747d878b-4r22t"": 0.23}""']"
1780891981.3719313,node-1,1.3,"{worker-fe016d40663e76e9-556f49db4b-lkkq6"": 0.12","[' ""worker-7958f89676bf3653-6b5bcd47bf-2fq6x"": 0.2', ' ""kube-controller-manager-node-1"": 11.34', ' ""node-metrics-collector-l78rp"": 16.2}""']"
1780891981.8670187,node-0,2.8,"{worker-0aab83a24e916a30-6dd95c7584-gqlcb"": 0.19","[' ""worker-c864b7cf40f389cb-98f545bf-p4947"": 0.14', ' ""worker-45adb7409f430f55-5454898758-2pjcl"": 0.24}""']"
1780891982.0501091,node-2,2.6,"{worker-846a33ce84d2b4bf-954df86fc-5sf9x"": 0.13","[' ""worker-c79aae5f316a650e-68d7565ddb-vhtf5"": 0.21', ' ""worker-938e7f49544b3293-8698f95b77-nq6jt"": 0.21', ' ""worker-458c67821d1d6a60-6fc949cdd8-2ncsn"": 0.14', ' ""worker-a83894b2184e57e7-77d48698c9-wzjsb"": 0.16', ' ""worker-a25e2d58c503c1a3-6b7dcf657c-26pjr"": 0.25', ' ""worker-7e425fa87bc12971-fcfd4f7b-p248r"": 0.24}""']"
1780891982.4872432,node-1,1.6,"{worker-c6899d1b80112b58-6658557c5d-q6mc9"": 0.18","[' ""worker-1573b95c039e51cc-bcd7cd759-dzmqq"": 0.21', ' ""dns-autoscaler-6d5984c657-bp2dz"": 0.31', ' ""calico-node-vhgtx"": 55.73}""']"
1780891982.978681,node-0,1.2,"{worker-8ef86af9762af347-5d684cffd6-lz86n"": 0.17","[' ""worker-a03d8277f9ec95f7-64cb48b585-dkz7s"": 0.25', ' ""worker-a9644719e5d173a2-74cc9cf98b-rb65q"": 0.11', ' ""worker-db6be4a997f386b3-6f7bd4fcfd-ksxtz"": 0.13', ' ""worker-b81ed828cb5e7192-7bfd7c5685-h65bx"": 0.17', ' ""kube-scheduler-node-0"": 2.92}""']"
1780891983.1647646,node-2,1.1,"{worker-d27353c8ad7c924a-588dcf95d8-2gbm7"": 0.23","[' ""calico-kube-controllers-5b566ffb7d-sq4sz"": 5.8}""']"
1780891983.5986905,node-1,1.6,"{worker-41b8611922a7e03f-86b98fb547-sn6s2"": 0.26","[' ""worker-a9fd6223e00378ed-64cdd745bd-nh7vk"": 0.13', ' ""worker-bb0034ea3bcbe045-5fb785466b-994m7"": 0.15', ' ""worker-64f056310269572d-cbb9b79c9-bvfrg"": 0.26', ' ""worker-68d84244f6a3c212-6f4ffb97f9-czjf6"": 0.18}""']"
1780891984.0895932,node-0,1.2,"{worker-bc11bd0a836eb393-6755f74c46-s2rsn"": 0.16","[' ""worker-70b9cea7ca266637-5b6b9c5c87-scw6v"": 0.11', ' ""worker-d399b29c39aafde6-5b9cd56bc-t9265"": 0.23', ' ""worker-e6c7bb410627e9eb-64d9bd9f5c-dhsr4"": 0.2', ' ""worker-93b7777259b0d610-5c897f5846-f96zz"": 0.1', ' ""worker-73e9cf25a1a3b312-5c79df49b9-598r5"": 0.26', ' ""worker-1c4353c2703fb166-d4f59b798-75mws"": 0.21}""']"
1780891984.2830877,node-2,2.5,{},
1780891984.7116888,node-1,1.2,"{worker-c8c43e1a911f29e5-56ccf5c49-z7jjb"": 0.21","[' ""worker-8d5a5cbc5dcaf950-795dbc5877-mzzs6"": 0.27', ' ""worker-cebc121403bf0d9d-66f8684bfb-gd6ms"": 0.2}""']"
1780891985.2067153,node-0,1.2,"{worker-c2ea3952c7a77d53-bb4557796-mz52j"": 0.21","[' ""metrics-server-574d47cd58-k5qp5"": 4.07}""']"
1780891985.393298,node-2,0.8,"{worker-6e42a4e8ea1df408-79c6fcc7d-phpkj"": 0.17","[' ""worker-34bebca9cd2c3d5c-6dd474884d-g8rcv"": 0.18', ' ""worker-8edcb2c8634528c6-78cdb47bf8-wfbfk"": 0.21', ' ""worker-ea65064e04faf35c-6496cf979b-9t4bk"": 0.13}""']"
1780891985.8261862,node-1,1.9,"{worker-bc378b6d0bed3329-6bbcc49f56-27wc2"": 0.26","[' ""worker-4b22cc3e1988174e-7756bbf56d-kms2l"": 0.15', ' ""kube-scheduler-node-1"": 2.79}""']"
1780891986.3192272,node-0,1.7,"{worker-7b2c43a2bc30f6bb-75855b864c-ctdq4"": 0.26}""",
1780891986.508213,node-2,1.1,"{worker-b5cd624f4d49f3dc-59b8c9c7f-kwz7r"": 0.25","[' ""controller-666f99f6ff-gqnn8"": 1.53', ' ""kubernetes-metrics-scraper-55bc8b9b54-wl5w8"": 0.12', ' ""kubernetes-dashboard-798b84547b-z6qg6"": 0.25}""']"
