Policy,Run,p50,p60,p70,p80,p90,p99,max
Load Peak,1,128.1,177.1,237.0,258.7,284.4,808.6,808.6
Load Peak,2,154.7,215.5,246.2,263.2,288.4,398.2,398.2
Load Peak,3,154.2,203.0,235.8,259.8,296.7,473.2,473.2
Load Peak,4,133.8,204.1,244.4,258.7,307.5,473.6,473.6
Load Peak,5,155.0,201.4,238.4,257.5,296.5,714.0,714.0
Load Peak,6,164.7,207.6,245.2,261.6,316.2,539.8,539.8
Load Peak,7,135.3,215.1,244.3,279.0,325.1,1725.4,1725.4
Load Peak,8,139.1,215.7,240.2,258.8,291.3,729.3,729.3
Load Peak,9,164.6,211.3,243.2,261.4,296.8,586.9,586.9
Load Peak,10,163.5,215.9,244.2,261.5,295.8,492.8,492.8

Load Peak,MEAN,149.30,206.67,241.89,262.02,299.87,694.18,694.18
Load Peak,STDEV,13.94,11.83,3.72,6.22,12.71,385.73,385.73

Load Avg,1,164.6,205.7,242.7,261.0,292.5,914.7,914.7
Load Avg,2,138.2,195.8,223.7,239.3,274.6,904.8,904.8
Load Avg,3,157.2,201.2,223.8,259.6,285.1,598.6,598.6
Load Avg,4,179.0,210.6,232.7,257.9,284.2,566.9,566.9
Load Avg,5,154.6,201.2,222.6,256.6,274.9,425.6,425.6
Load Avg,6,139.7,197.1,229.2,258.2,289.4,698.3,698.3
Load Avg,7,173.9,208.7,234.5,260.0,288.8,728.5,728.5
Load Avg,8,155.8,200.4,238.9,258.1,282.3,562.8,562.8
Load Avg,9,170.8,210.7,234.6,260.0,291.5,613.0,613.0
Load Avg,10,152.0,205.3,224.1,244.8,276.1,1027.5,1027.5

Load Avg,MEAN,158.58,203.67,230.68,255.55,283.94,704.07,704.07
Load Avg,STDEV,13.65,5.35,7.09,7.34,6.82,190.21,190.21

No Mig,1,142.2,212.3,238.7,260.0,316.4,1308.2,1308.2
No Mig,2,127.2,214.0,238.4,255.3,292.8,574.5,574.5
No Mig,3,124.1,216.8,248.1,261.3,349.7,527.2,527.2
No Mig,4,137.4,219.5,254.1,275.3,315.7,686.3,686.3
No Mig,5,134.7,200.6,244.5,267.1,359.1,846.1,846.1
No Mig,6,134.4,220.6,250.0,274.3,355.2,972.1,972.1
No Mig,7,130.1,209.4,240.1,263.7,298.0,767.2,767.2
No Mig,8,135.6,222.6,248.7,274.6,345.5,1217.3,1217.3
No Mig,9,146.3,200.0,252.5,261.5,328.2,653.7,653.7
No Mig,10,129.4,212.0,242.6,263.4,284.4,809.3,809.3

No Mig,MEAN,134.14,212.78,245.77,265.65,324.50,836.19,836.19
No Mig,STDEV,6.78,7.78,5.72,6.95,27.26,260.73,260.73

Tardis,1,156.9,223.9,241.4,251.5,265.8,875.4,875.4
Tardis,2,158.1,214.6,252.8,280.7,330.7,598.0,598.0
Tardis,3,125.6,204.2,230.1,252.3,268.9,674.5,674.5
Tardis,4,129.3,196.9,232.3,258.2,285.3,372.3,372.3
Tardis,5,154.0,203.4,243.8,256.8,319.1,640.7,640.7
Tardis,6,168.9,213.2,238.0,263.6,299.9,514.5,514.5
Tardis,7,174.7,216.7,249.6,261.7,293.7,416.5,416.5
Tardis,8,136.7,203.6,225.3,253.0,274.7,751.3,751.3
Tardis,9,148.7,196.8,234.9,252.9,274.7,871.1,871.1
Tardis,10,131.4,219.6,243.0,254.6,302.4,625.6,625.6

Tardis,MEAN,148.43,209.29,239.12,258.53,291.52,633.99,633.99
Tardis,STDEV,17.06,9.55,8.67,8.80,21.77,170.42,170.42

