timestamp,node,cpu_pct,pods,
1780893880.2240276,node-0,1.7,"{worker-0aab83a24e916a30-6dd95c7584-v8gmd"": 0.16","[' ""worker-f274d71de386ccc7-557cff9876-clls2"": 0.19', ' ""worker-7b2c43a2bc30f6bb-75855b864c-76f9g"": 0.13', ' ""worker-682c50b946b6efb6-6cc4c9965f-mhdwt"": 0.19}""']"
1780893880.7281456,node-2,6.4,"{worker-67b406bcce86bae0-5c685b4bc4-q2w7p"": 0.18","[' ""worker-ca4fde7aa358b20b-59d59c8db6-vz6hq"": 0.2', ' ""worker-4dd59aea96ab30b4-858f47b88b-tcs22"": 0.22}""']"
1780893881.0841167,node-1,1.2,"{worker-a0ed6d33dc4622e0-545b7475ff-wrrj7"": 0.26","[' ""worker-17c37a0fdd5d1932-6d9955d87-s2r64"": 0.27', ' ""worker-80ba614b065a6836-65dfb8499b-4dxsx"": 0.21', ' ""worker-64f056310269572d-cbb9b79c9-fhck9"": 0.22', ' ""worker-5a214e8e45500489-5cfb9f7d4c-5s6nt"": 0.19}""']"
1780893881.3368804,node-0,1.6,"{worker-a4a3c0390fad6c1a-6f5fd46dc9-qxxvb"": 0.29","[' ""worker-bc11bd0a836eb393-6755f74c46-5rsfx"": 0.26', ' ""worker-96149d3ed4f00afb-7764469b77-cplcq"": 0.14', ' ""worker-b81ed828cb5e7192-7bfd7c5685-f4mhr"": 0.13', ' ""worker-1c4353c2703fb166-d4f59b798-twt4w"": 0.26', ' ""worker-93b7777259b0d610-5c897f5846-qqt7r"": 0.24}""']"
1780893881.842156,node-2,2.0,"{worker-bc7554e7f013bbc9-5df44489b4-rt8pm"": 0.27","[' ""worker-7e425fa87bc12971-fcfd4f7b-9swps"": 0.18', ' ""calico-kube-controllers-5b566ffb7d-sq4sz"": 5.79}""']"
1780893882.1994746,node-1,2.0,"{worker-bb0034ea3bcbe045-5fb785466b-lnj76"": 0.14","[' ""speaker-bfj68"": 19.41', ' ""worker-8d5a5cbc5dcaf950-795dbc5877-8ffcq"": 0.11', ' ""kube-scheduler-node-1"": 2.18}""']"
1780893882.4508975,node-0,1.4,"{worker-85479ef37b5dc75d-576f4bd87-qscz2"": 0.24","[' ""worker-70b9cea7ca266637-5b6b9c5c87-sg7tp"": 0.13', ' ""worker-4f5eafc2b3d6ead5-6c696d7b65-l7hrb"": 0.19}""']"
1780893882.9576313,node-2,2.0,"{worker-9417b97516aa524c-76d5d655bf-hjnrq"": 0.13","[' ""controller-666f99f6ff-gqnn8"": 0.83', ' ""worker-b5cd624f4d49f3dc-59b8c9c7f-m8n47"": 0.29', ' ""worker-1de6db5cc9a0296e-587f7cccc5-78kjw"": 0.11}""']"
1780893883.3095467,node-1,1.5,"{worker-046b5f12d0ed300f-cbbd44969-gsfhj"": 0.19","[' ""kube-proxy-5mfnl"": 14.3', ' ""worker-68d84244f6a3c212-6f4ffb97f9-8g92d"": 0.2', ' ""worker-41b8611922a7e03f-86b98fb547-tllrg"": 0.2', ' ""kube-apiserver-node-1"": 44.95}""']"
1780893883.5670977,node-0,1.1,"{worker-8ef86af9762af347-5d684cffd6-xmm6d"": 0.22","[' ""worker-51dbc1cbb708f14d-59f44787cd-n9cdl"": 0.19}""']"
1780893884.0682347,node-2,1.0,"{worker-2709aa426c73ec15-6c886bcf5c-pgcz9"": 0.2","[' ""worker-dfcd50e431bff00c-67747d878b-rnxfn"": 0.29}""']"
1780893884.423402,node-1,1.3,"{worker-71fab9125e9dc96c-6f5bd7bbd6-w8p4s"": 0.2}""",
1780893884.6780114,node-0,1.3,"{worker-fcc7dff74ceb0deb-5c96f645b-wkgwf"": 0.25","[' ""worker-03e48744252ef722-5799ccb989-shgrq"": 0.23', ' ""node-metrics-collector-nt6lw"": 20.07}""']"
1780893885.1843777,node-2,1.4,"{worker-a594f92f84072b4c-56b47dfdfd-mpqwv"": 0.12","[' ""worker-34bebca9cd2c3d5c-6dd474884d-854z2"": 0.28', ' ""worker-c79aae5f316a650e-68d7565ddb-7jqp6"": 0.25', ' ""worker-734272c01926d196-dfd9f9f44-lvdns"": 172.29', ' ""calico-node-qwfqp"": 41.94}""']"
1780893885.537037,node-1,2.3,"{worker-1c5682a8e57d04d0-6d8c5ff796-wq7tr"": 0.23","[' ""worker-dd81ee53ae84624a-7864cc945c-qwn8h"": 0.19', ' ""node-metrics-collector-l78rp"": 13.51}""']"
